,X,Y,Region
429,0.2,38.800000000000004,LW
430,0.2,39.0,LW
431,0.2,39.2,LW
432,0.2,39.400000000000006,LW
433,0.2,39.6,LW
434,0.2,39.800000000000004,LW
435,0.2,40.0,LW
436,0.2,40.2,LW
437,0.2,40.400000000000006,LW
438,0.2,40.6,LW
439,0.2,40.800000000000004,LW
440,0.2,41.0,LW
441,0.2,41.2,LW
442,0.2,41.400000000000006,LW
443,0.2,41.6,LW
444,0.2,41.800000000000004,LW
445,0.2,42.0,LW
446,0.2,42.2,LW
447,0.2,42.400000000000006,LW
448,0.2,42.6,LW
449,0.2,42.800000000000004,LW
450,0.2,43.0,LW
451,0.2,43.2,LW
452,0.2,43.400000000000006,LW
453,0.2,43.6,LW
454,0.2,43.800000000000004,LW
455,0.2,44.0,LW
456,0.2,44.2,LW
457,0.2,44.400000000000006,LW
458,0.2,44.6,LW
459,0.2,44.800000000000004,LW
460,0.2,45.0,LW
461,0.2,45.2,LW
462,0.2,45.400000000000006,LW
463,0.2,45.6,LW
464,0.2,45.800000000000004,LW
465,0.2,46.0,LW
466,0.2,46.2,LW
467,0.2,46.400000000000006,LW
468,0.2,46.6,LW
471,0.4,0.2,LC
472,0.4,0.4,LC
473,0.4,0.6000000000000001,LC
474,0.4,0.8,LC
475,0.4,1.0,LC
476,0.4,1.2000000000000002,LC
477,0.4,1.4000000000000001,LC
478,0.4,1.6,LC
479,0.4,1.8,LC
480,0.4,2.0,LC
481,0.4,2.2,LC
482,0.4,2.4000000000000004,LC
483,0.4,2.6,LC
484,0.4,2.8000000000000003,LC
485,0.4,3.0,LC
486,0.4,3.2,LC
487,0.4,3.4000000000000004,LC
488,0.4,3.6,LC
489,0.4,3.8000000000000003,LC
490,0.4,4.0,LC
491,0.4,4.2,LC
492,0.4,4.4,LC
493,0.4,4.6000000000000005,LC
494,0.4,4.800000000000001,LC
495,0.4,5.0,LC
496,0.4,5.2,LC
497,0.4,5.4,LC
498,0.4,5.6000000000000005,LC
